Time : 11-Sep-2024 12:50 Message : TrRule: btnCreateRule_Click() | Username :MaximusException : 42809: sp_insert_or_edit_rule(p_username => text, p_groupid => integer, p_rulename => text, p_ruledescription => text, p_priority => integer, p_aggregator => text, p_switch => text, p_iin => text, p_ratio => text, p_swithmode => text, p_flag => integer) is a procedure
Time : 11-Sep-2024 13:13 Message : TrRule: btnCreateRule_Click() | Username :MaximusException : 42809: public.sp_insert_or_edit_rule(p_username => text, p_groupid => integer, p_rulename => text, p_ruledescription => text, p_priority => integer, p_aggregator => text, p_switch => text, p_iin => text, p_ratio => text, p_swithmode => text, p_flag => integer) is a procedure
Time : 11-Sep-2024 13:26 Message : TrRule: btnCreateRule_Click() | Username :MaximusException : 42809: public.sp_insert_or_edit_rule(p_username => text, p_groupid => integer, p_rulename => text, p_ruledescription => text, p_priority => integer, p_aggregator => text, p_switch => text, p_iin => text, p_ratio => text, p_swithmode => text, p_flag => integer) is a procedure
Time : 11-Sep-2024 14:02 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 11-Sep-2024 14:07 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 11-Sep-2024 17:39 Message : TrRule: EditGroup() | DB_StatusCode : VERI00 | ResponseCode : VERI00 | ResponseMessage : Request Going For Verification
Time : 11-Sep-2024 17:51 Message : TrRule: Delete() | DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 17:58 Message : TrRule: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 17:58 Message : TrRule: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 18:12 Message : TrRule: ToggleRuleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 18:12 Message : TrRule: ToggleRuleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 18:13 Message : TrRule: ToggleRuleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 18:13 Message : TrRule: ToggleRuleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 18:35 Message : TrRule: ToggleRuleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 19:10 Message : TrRule: ToggleRuleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 19:14 Message : TrRule: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 19:14 Message : TrRule: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 19:14 Message : TrRule: ToggleRuleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 19:14 Message : TrRule: ToggleRuleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 19:23 Message : TrRule: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 19:23 Message : TrRule: ToggleRuleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 19:23 Message : TrRule: ToggleRuleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 11-Sep-2024 19:24 Message : TrRule: ToggleRuleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
