Time : 16-Sep-2024 13:03 Message : TrRule: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 13:04 Message : TrRule: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 13:12 Message : TrRule: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 13:18 Message : SwitchConfig: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 13:19 Message : SwitchConfig: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 13:19 Message : SwitchConfig: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 13:20 Message : SwitchConfig: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 13:20 Message : SwitchConfig: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 13:20 Message : TrRule: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 13:20 Message : TrRule: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 13:21 Message : TrRule: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 13:21 Message : TrRule: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 13:49 Message : TrRule: btnCreGroup_Click() | Username :MaximusException : 23505: duplicate key value violates unique constraint "tbl_switch_configuration_pkey"
Time : 16-Sep-2024 14:03 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 16-Sep-2024 14:03 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 16-Sep-2024 15:20 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 16-Sep-2024 15:25 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 16-Sep-2024 15:26 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 16-Sep-2024 15:26 Message : SwitchConfig: ToggleSlider(): DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 16-Sep-2024 16:03 Message : TrRule: EditGroup() | DB_StatusCode : VERI00 | ResponseCode : VERI00 | ResponseMessage : Request Going For Verification
Time : 16-Sep-2024 16:03 Message : TrRule: EditGroup() | DB_StatusCode : VERI00 | ResponseCode : VERI00 | ResponseMessage : Request Going For Verification
Time : 16-Sep-2024 16:04 Message : TrRule: EditGroup() | DB_StatusCode : VERI00 | ResponseCode : VERI00 | ResponseMessage : Request Going For Verification
Time : 16-Sep-2024 16:12 Message : TrRule: EditGroup() | DB_StatusCode : VERI00 | ResponseCode : VERI00 | ResponseMessage : Request Going For Verification
Time : 16-Sep-2024 16:13 Message : TrRule: EditGroup() | DB_StatusCode : VERI00 | ResponseCode : VERI00 | ResponseMessage : Request Going For Verification
Time : 16-Sep-2024 16:29 Message : SwitchConfig: Delete() | DB_StatusCode : DEL00 | ResponseCode : DEL00 | ResponseMessage : Delete Successful
Time : 16-Sep-2024 16:29 Message : SwitchConfig: Delete() | DB_StatusCode : DEL00 | ResponseCode : DEL00 | ResponseMessage : Delete Successful
Time : 16-Sep-2024 16:35 Message : SwitchConfig: Delete() | DB_StatusCode : DEL00 | ResponseCode : DEL00 | ResponseMessage : Delete Successful
Time : 16-Sep-2024 16:35 Message : SwitchConfig: Delete() | DB_StatusCode : DEL00 | ResponseCode : DEL00 | ResponseMessage : Delete Successful
Time : 16-Sep-2024 17:41 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 16-Sep-2024 17:55 Message : TrRule: EditGroup() | DB_StatusCode : VERI00 | ResponseCode : VERI00 | ResponseMessage : Request Going For Verification
Time : 16-Sep-2024 17:55 Message : TrRule: EditGroup() | DB_StatusCode : VERI00 | ResponseCode : VERI00 | ResponseMessage : Request Going For Verification
