Time : 19-Dec-2024 11:57 Message : TrRule: EditGroup() | DB_StatusCode : UPD00 | ResponseCode : UPD00 | ResponseMessage : Update Successful
Time : 19-Dec-2024 12:48 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 19-Dec-2024 12:51 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 19-Dec-2024 14:12 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 19-Dec-2024 14:12 Message : TrRule: Delete() | DB_StatusCode : DEL96 | ResponseCode : DEL96 | ResponseMessage : Delete Failed
Time : 19-Dec-2024 14:12 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 19-Dec-2024 14:15 Message : TrRule: Delete() | DB_StatusCode : DEL96 | ResponseCode : DEL96 | ResponseMessage : Delete Failed
Time : 19-Dec-2024 14:15 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 19-Dec-2024 14:15 Message : TrRule: Delete() | DB_StatusCode : DEL96 | ResponseCode : DEL96 | ResponseMessage : Delete Failed
Time : 19-Dec-2024 14:15 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 19-Dec-2024 14:18 Message : TrRule: Delete() | DB_StatusCode : DEL96 | ResponseCode : DEL96 | ResponseMessage : Delete Failed
Time : 19-Dec-2024 14:19 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 19-Dec-2024 14:19 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 19-Dec-2024 14:19 Message : TrRule: Delete() | DB_StatusCode : DEL00 | ResponseCode : DEL00 | ResponseMessage : Delete Successful
Time : 19-Dec-2024 14:30 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 19-Dec-2024 14:30 Message : TrRule: Delete() | DB_StatusCode : DEL96 | ResponseCode : DEL96 | ResponseMessage : Delete Failed
