Time : 21-Sep-2024 13:19 Message : TrRule: btnCreGroup_Click() | Username :MaximusException : Object reference not set to an instance of an object.
Time : 21-Sep-2024 13:19 Message : TrRule: btnCreGroup_Click() | Username :MaximusException : Object reference not set to an instance of an object.
Time : 21-Sep-2024 13:25 Message : TrRule: btnCreGroup_Click() | Username :MaximusException : 23502: null value in column "transaction_type" of relation "tbl_switch_routing" violates not-null constraint
Time : 21-Sep-2024 13:32 Message : TrRule: btnCreGroup_Click() | Username :MaximusException : Object reference not set to an instance of an object.
Time : 21-Sep-2024 14:20 Message : TrRule: btnCreGroup_Click() | Username :MaximusException : 23502: null value in column "transaction_type" of relation "tbl_switch_routing" violates not-null constraint
Time : 21-Sep-2024 14:23 Message : TrRule: btnCreGroup_Click() | Username :MaximusException : Object reference not set to an instance of an object.
Time : 21-Sep-2024 14:27 Message : TrRule: btnCreGroup_Click() | Username :MaximusException : 23502: null value in column "transaction_type" of relation "tbl_switch_routing" violates not-null constraint
Time : 21-Sep-2024 14:28 Message : TrRule: btnCreGroup_Click() | Username :MaximusException : 23502: null value in column "transaction_type" of relation "tbl_switch_routing" violates not-null constraint
Time : 21-Sep-2024 15:08 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 21-Sep-2024 15:10 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 21-Sep-2024 15:12 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 21-Sep-2024 15:14 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 21-Sep-2024 15:15 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 21-Sep-2024 15:16 Message : TrRule: EditGroup() | DB_StatusCode : VERI00 | ResponseCode : VERI00 | ResponseMessage : Request Going For Verification
Time : 21-Sep-2024 15:16 Message : TrRule: EditGroup() | DB_StatusCode : VERI00 | ResponseCode : VERI00 | ResponseMessage : Request Going For Verification
Time : 21-Sep-2024 15:19 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 21-Sep-2024 15:21 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 21-Sep-2024 15:21 Message : TrRule: btnCreGroup_Click() | DB_StatusCode : INS00 | ResponseCode : INS00 | ResponseMessage : Insert Successful
Time : 21-Sep-2024 16:28 Message : TrRule: btnCreGroup_Click() | Username :MaximusException : 23502: null value in column "switch_address" of relation "tbl_switch_routing" violates not-null constraint
